"","img_name","SPC20","SPC50","SPC80","Density"
"1","20170626_SPC.tif",261.86,105.82,8.61,46.8693516140615
"2","20180517_SPC.tif",249.81,126.89,16.05,50.810670290787
"3","20190621_SPC.tif",257.87,124.83,7.54,49.2947983273004
"4","20200526_SPC.tif",268.53,89.16,2.93,44.5512908402401
"5","20210516_SPC.tif",273.78,151.7,12.97,52.317128632692
"6","20220506_SPC.tif",270.17,182.28,43.38,58.8413209844916
"7","20230511_SPC.tif",217.49,69.5,0.16,44.0033098811297
"8","20240709_SPC.tif",281.07,170.52,18.42,54.2962058513808
