"type","name","site","psky_bn","sample","sgrs__L","spctrlc","remark","SPC","NDVI","SHSI"
"grid","RG 25","rewilded",1,"sample",NA,NA,NA,45.6340026855469,0.394129991531372,-0.0552335940301418
"grid","RG 26","rewilded",NA,"marsh",NA,NA,"marsh",27.4607830047607,0.28850856423378,-0.0591148138046265
"grid","RG 27","rewilded",NA,"marsh",NA,NA,"marsh",2.8237931728363,0.145320191979408,-0.0126284901052713
"grid","RG 28","rewilded",NA,"no",NA,NA,NA,39.3639755249023,0.357689052820206,-0.0932892113924026
"grid","RG 29","rewilded",NA,"marsh",NA,NA,"marsh",26.1129150390625,0.28067484498024,-0.0735291689634323
"grid","RG 30","rewilded",NA,"marsh",NA,NA,"marsh",36.9542427062988,0.343683838844299,-0.0280578564852476
"grid","RG 31","rewilded",33,"sample",NA,NA,NA,17.0545845031738,0.228028506040573,-0.0108894994482398
"grid","RG 32","rewilded",NA,"marsh",NA,NA,"marsh",26.7637538909912,0.284457474946976,-0.0443404950201511
"random","RR 33","rewilded",NA,"marsh",NA,NA,"creek",7.3489933013916,0.171620324254036,-0.0382866486907005
"random","RR 34","rewilded",15,"sample",NA,NA,NA,19.9174900054932,0.244667500257492,-0.0462730675935745
"random","RR 35","rewilded",18,"sample",NA,NA,NA,34.9043846130371,0.331770211458206,-0.0444799363613129
"random","RR 36","rewilded",24,"sample",100,"20-40",NA,12.6699047088623,0.202545061707497,-0.055986113846302
"random","RR 37","rewilded",27,"sample",NA,NA,NA,35.028865814209,0.33249369263649,-0.0626082941889763
"random","RR 38","rewilded",38,"sample",NA,NA,NA,32.4168663024902,0.317312955856323,-0.047845833003521
"random","RR 39","rewilded",81,"sample",NA,NA,NA,35.0552024841309,0.332646757364273,-0.0322338938713074
"random","RR 40","rewilded",9,"sample",NA,NA,NA,49.0571365356445,0.414024978876114,-0.0507877431809902
"random","RR 41","rewilded",8,"sample",NA,NA,NA,41.4251174926758,0.369668245315552,-0.0625612139701843
"random","RR 42","rewilded",NA,"no",NA,NA,NA,36.204402923584,0.339325845241547,-0.054909061640501
"random","RR 43","rewilded",21,"sample",NA,NA,NA,44.1539268493652,0.38552787899971,-0.0487061180174351
"random","RR 44","rewilded",22,"sample",NA,NA,NA,47.8420181274414,0.406962782144547,-0.0529634691774845
"random","RR 45","rewilded",29,"sample",50,"A161-A180",NA,22.9675445556641,0.262394189834595,-0.0608511157333851
"random","RR 46","rewilded",35,"sample",50,"A101-A120",NA,52.7524147033691,0.435501664876938,-0.0299390833824873
"random","RR 47","rewilded",2,"sample",NA,NA,NA,47.4921836853027,0.404929578304291,-0.039970263838768
"random","RR 48","rewilded",11,"sample",NA,NA,NA,43.696117401123,0.382867127656937,0.00288036046549678
"random","RR 49","rewilded",12,"sample",NA,NA,NA,12.8862981796265,0.203802734613419,-0.0321548171341419
"random","RR 50","rewilded",NA,"marsh",NA,NA,"marsh",11.6678686141968,0.196721315383911,-0.021031754091382
"random","RR 51","rewilded",31,"sample",NA,NA,NA,22.6898555755615,0.260780274868011,-0.080952025949955
"random","RR 52","rewilded",32,"sample",NA,NA,NA,5.55909824371338,0.161217585206032,-0.0215560123324394
"random","RR 53","rewilded",NA,"marsh",NA,NA,"marsh",18.1934833526611,0.234647706151009,-0.0387849509716034
